app_id,title,developer,genre,content_rating,ad_supported
math.puzzle.games.crossmath.number.puzzles.free,Crossmath® - Math Puzzle Games,Guru Puzzle Game,Puzzle,Everyone,True
com.os.space.force.galaxy.alien,Galaxiga: Galaxy Arcade Game,1SOFT,Arcade,Everyone 10+,True
com.kiloo.subwaysurf,Subway Surfers,SYBO Games,Arcade,Everyone 10+,True
com.halfbrick.fruitninjafree,Fruit Ninja®,Halfbrick Studios,Arcade,Everyone,True
com.ea.game.nfs14_row,Need for Speed™ No Limits,ELECTRONIC ARTS,Racing,Everyone 10+,False
com.weplaydots.twodotsandroid,Two Dots: Brain Puzzle Games,PlayDots,Board,Everyone,True
com.block.juggle,Block Blast!,HungryStudio,Puzzle,Everyone,True
com.playrix.homescapes,Homescapes,Playrix,Casual,Everyone,False
com.greencod.pinballdeluxereloaded,Pinball Deluxe: Reloaded,Made Of Bits,Arcade,Everyone,True
com.king.candycrushsaga,Candy Crush Saga,King,Casual,Everyone,True
com.joycastle.mergematch,Matching Story - Puzzle Games,VERTEX GAMES PTE. LTD.,Casual,Everyone,False
com.easybrain.block.puzzle.games,Blockudoku®: Block Puzzle Game,Easybrain,Puzzle,Everyone,True
com.oakever.tiletrip,Tile Explorer - Triple Match,Oakever Games,Puzzle,Everyone,True
com.playrix.gardenscapes,Gardenscapes,Playrix,Casual,Everyone,False
com.playgendary.sportmasters,Bouncemasters: Penguin Games,CASUAL AZUR GAMES,Arcade,Everyone,True
com.fc.goods.sort.matching.puzzle.triplemaster,Goods Puzzle: Sort Challenge™,FALCON GAMES,Puzzle,Everyone,True
net.peakgames.match,Match Factory!,Peak,Puzzle,Everyone,False
com.sega.sonicdash,Sonic Dash Run,SEGA,Arcade,Everyone,True
com.dreamgames.royalkingdom,Royal Kingdom,"Dream Games, Ltd.",Puzzle,Everyone,False
where.my.seat.taken.logic.puzzle.brain.mind,Where's My Seat?・Logic Puzzles,Smartmove Global,Puzzle,Everyone,True
find.out.hidden.objects.seek.puzzle.games.free,Find It Out® - Hidden Object,Guru Puzzle Game,Puzzle,Everyone,True
com.robtopx.geometryjumplite,Geometry Dash Lite,RobTop Games,Arcade,Everyone 10+,True
com.easybrain.art.puzzle,Art Puzzle - Puzzle Games,Easybrain,Puzzle,Everyone,True
com.easybrain.arrow.puzzle.game,Arrow Puzzle: Tap Puzzle Games,Easybrain,Puzzle,Everyone,True
com.nintendo.zara,Super Mario Run,"Nintendo Co., Ltd.",Action,Everyone,False
com.zeptolab.ctr.ads,Cut the Rope,ZeptoLab,Puzzle,Everyone,True
com.easybrain.sudoku.android,Sudoku.com - Sudoku Puzzle,Easybrain,Puzzle,Everyone,True
com.oakever.meowdoku,Meowdoku: Brain Puzzle Games,Oakever Games,Puzzle,Everyone,True
com.pixel.art.coloring.color.number,Happy Color®: Color by Number,X-FLOW,Board,Everyone,True
com.JindoBlu.OfflineGames,Offline Games - No Wifi Games,JindoBlu,Casual,Everyone,True
com.biglime.cookingmadness,Cooking Madness: A Chef's Game,ZenLife Games Ltd,Arcade,Teen,True
com.nekki.shadowfight,Shadow Fight 2,NEKKI,Action,Everyone 10+,True
com.sadpuppy.lemmings,Lemmings: Puzzle Survival,Exient,Puzzle,Everyone 10+,True
com.game.space.shooter2,Space shooter - Galaxy attack,Unicorn Studio Official,Arcade,Everyone,True
com.youmusic.magictiles,Magic Tiles 3™ - Piano Game,AMANOTES PTE. LTD.,Music,Everyone 10+,True
com.easybrain.nonogram,Nonogram.com - Puzzle Games,Easybrain,Puzzle,Everyone,True
com.gameloft.android.ANMP.GloftA8HM,Asphalt 8 - Car Racing Game,Gameloft SE,Racing,Everyone 10+,True
com.sybogames.subway.surfers.game,Subway Surfers City,SYBO Games,Action,Everyone 10+,True
com.playrix.fishdomdd.gplay,Fishdom,Playrix,Puzzle,Everyone,False
com.ea.game.pvzfree_row,Plants vs. Zombies™,ELECTRONIC ARTS,Strategy,Everyone 10+,True
com.xxzjcbt.google,Galaxy Conqueror,Rhinos,Strategy,Everyone 10+,False
com.yodo1.crossyroad,Crossy Road,HIPSTER WHALE,Action,Everyone,True
com.gameloft.android.ANMP.GloftA9HM,Asphalt Legends - Racing Game,Gameloft SE,Racing,Everyone 10+,True
com.fingersoft.hcr2,Hill Climb Racing 2,Fingersoft,Racing,Everyone,True
com.amanotes.beathopper,Tiles Hop Music & Ball Game,AMANOTES PTE. LTD.,Music,Everyone 10+,True
com.tiltingpoint.spongebob,SpongeBob: Krusty Cook-Off,Tilting Point,Casual,Everyone,True
com.cyphergames.royalsmash,Royal Smash! - Physics Puzzle,Cypher Games,Casual,Everyone,True
com.gamovation.tileclub,Tile Club - Match Puzzle Games,GamoVation,Puzzle,Everyone,True
com.oakever.arrows,Amaze GO!,Oakever Games,Puzzle,Everyone,True
com.vitastudio.mahjong,Vita Mahjong,Vita Studio.,Board,Everyone,True
com.ecffri.arrows,Arrows – Puzzle Escape,Lessmore GmbH,Puzzle,Everyone,True
com.FDGEntertainment.redball4.gp,Red Ball 4,FDG Entertainment GmbH & Co.KG,Arcade,Everyone,True
com.fgol.HungrySharkEvolution,Hungry Shark Evolution,Ubisoft Entertainment,Arcade,Teen,True
com.Seriously.BestFiends,Best Fiends - Match 3 Puzzles,Playtika,Casual,Everyone,True
com.outfit7.talkingtomgoldrun,Talking Tom Gold Run,Outfit7 Limited,Action,Everyone,True
com.outfit7.herodash,Talking Tom: Hero Dash Run,Outfit7 Limited,Action,Everyone,True
net.peakgames.toonblast,Toon Blast,Peak,Puzzle,Everyone,True
com.zynga.pottermatch,Harry Potter: Puzzles & Spells,Zynga,Puzzle,Everyone,True
com.skgames.trafficrider,Traffic Rider,skgames,Racing,Everyone,True
com.masomo.headball2,Head Ball 2 - Online Soccer,Masomo Gaming,Sports,Everyone,True
com.os.airforce,1945 Air Force: Plane Shooter,1SOFT,Arcade,Everyone 10+,True
com.rovio.baba,Angry Birds 2,Rovio Entertainment Oy,Casual,Everyone,True
bubbleshooter.orig,Bubble Shooter - Classic Pop,Bubble Shooter,Puzzle,Everyone,True
com.dreamgames.royalmatch,Royal Match,"Dream Games, Ltd.",Puzzle,Everyone,False
com.nekki.vector,Vector,NEKKI,Arcade,Everyone 10+,True
com.easybrain.jigsaw.puzzles,Jigsaw Puzzles - Puzzle Games,Easybrain,Puzzle,Everyone,True
com.inspiredsquare.jupiter,2248 - Numbers Game 2048,Inspired Square FZE,Puzzle,Everyone,True
net.peakgames.amy,Toy Blast,Peak,Puzzle,Everyone,True
com.imangi.templerun2,Temple Run 2,Imangi Studios,Action,Everyone 10+,True
