app_id,iap_price_range
math.puzzle.games.crossmath.number.puzzles.free,$0.99 - $10.99 per item
com.os.space.force.galaxy.alien,$0.49 - $339.99 per item
com.kiloo.subwaysurf,$0.99 - $99.99 per item
com.halfbrick.fruitninjafree,$0.99 - $179.99 per item
com.ea.game.nfs14_row,$0.99 - $99.99 per item
com.weplaydots.twodotsandroid,$0.99 - $119.99 per item
com.block.juggle,$4.99 - $49.99 per item
com.playrix.homescapes,$0.29 - $199.99 per item
com.greencod.pinballdeluxereloaded,$0.99 - $19.99 per item
com.king.candycrushsaga,$0.99 - $149.99 per item
com.joycastle.mergematch,$0.99 - $99.99 per item
com.easybrain.block.puzzle.games,$14.99 per item
com.oakever.tiletrip,$0.99 - $44.99 per item
com.playrix.gardenscapes,$0.49 - $99.99 per item
com.playgendary.sportmasters,$0.99 - $94.99 per item
com.fc.goods.sort.matching.puzzle.triplemaster,$0.99 - $181.99 per item
net.peakgames.match,$0.99 - $199.99 per item
com.sega.sonicdash,$0.99 - $99.99 per item
com.dreamgames.royalkingdom,$0.99 - $99.99 per item
where.my.seat.taken.logic.puzzle.brain.mind,$0.99 - $99.99 per item
find.out.hidden.objects.seek.puzzle.games.free,$0.99 - $99.99 per item
com.robtopx.geometryjumplite,
com.easybrain.art.puzzle,$0.99 - $14.99 per item
com.easybrain.arrow.puzzle.game,$14.99 per item
com.nintendo.zara,$9.99 per item
com.zeptolab.ctr.ads,$0.49 - $197.99 per item
com.easybrain.sudoku.android,$2.49 - $14.99 per item
com.oakever.meowdoku,$3.99 - $69.99 per item
com.pixel.art.coloring.color.number,$1.99 - $7.99 per item
com.JindoBlu.OfflineGames,$1.99 - $10.99 per item
com.biglime.cookingmadness,$0.99 - $199.99 per item
com.nekki.shadowfight,$0.99 - $49.99 per item
com.sadpuppy.lemmings,$0.99 - $99.99 per item
com.game.space.shooter2,$0.99 - $59.99 per item
com.youmusic.magictiles,$0.99 - $49.99 per item
com.easybrain.nonogram,$3.99 - $14.99 per item
com.gameloft.android.ANMP.GloftA8HM,$0.29 - $149.99 per item
com.sybogames.subway.surfers.game,$0.99 - $99.99 per item
com.playrix.fishdomdd.gplay,$0.99 - $129.99 per item
com.ea.game.pvzfree_row,$0.99 - $7.99 per item
com.xxzjcbt.google,$0.99 - $99.99 per item
com.yodo1.crossyroad,$0.49 - $29.99 per item
com.gameloft.android.ANMP.GloftA9HM,$0.29 - $199.99 per item
com.fingersoft.hcr2,$0.99 - $200.00 per item
com.amanotes.beathopper,$0.99 - $49.99 per item
com.tiltingpoint.spongebob,$0.99 - $99.99 per item
com.cyphergames.royalsmash,$1.99 - $99.99 per item
com.gamovation.tileclub,$0.99 - $99.99 per item
com.oakever.arrows,
com.vitastudio.mahjong,$0.99 - $49.99 per item
com.ecffri.arrows,$1.49 - $40.00 per item
com.FDGEntertainment.redball4.gp,$4.99 - $8.99 per item
com.fgol.HungrySharkEvolution,$0.99 - $99.99 per item
com.Seriously.BestFiends,$0.99 - $99.99 per item
com.outfit7.talkingtomgoldrun,$0.99 - $149.99 per item
com.outfit7.herodash,$0.99 - $114.99 per item
net.peakgames.toonblast,$0.49 - $199.99 per item
com.zynga.pottermatch,$0.99 - $169.99 per item
com.skgames.trafficrider,$1.99 - $99.99 per item
com.masomo.headball2,$0.29 - $249.99 per item
com.os.airforce,$0.99 - $199.99 per item
com.rovio.baba,$0.99 - $249.99 per item
bubbleshooter.orig,$0.99 - $104.99 per item
com.dreamgames.royalmatch,$0.99 - $99.99 per item
com.nekki.vector,$0.99 - $129.99 per item
com.easybrain.jigsaw.puzzles,$0.99 - $14.99 per item
com.inspiredsquare.jupiter,$0.99 - $99.99 per item
net.peakgames.amy,$0.99 - $99.99 per item
com.imangi.templerun2,$0.99 - $49.99 per item
com.king.candycrushsodasaga,$0.99 - $149.99 per item
com.pantheraplay.soulhuntresspremium,$0.99 - $99.99 per item
eu.bandainamcoent.pacman256,$0.99 - $4.99 per item
com.imangi.templerun,$0.99 - $19.99 per item
com.gameloft.android.ANMP.GloftDMHM,$0.29 - $99.99 per item
