app_id,installs,rating_score,ratings_count,reviews_count,last_updated
math.puzzle.games.crossmath.number.puzzles.free,10000000,4.8140225,858590,9726,1786698929
com.os.space.force.galaxy.alien,100000000,4.737149,451410,37985,1786325714
com.kiloo.subwaysurf,1000000000,4.550977,41571431,1755503,1786093992
com.halfbrick.fruitninjafree,500000000,4.453769,5336011,212292,1786525598
com.ea.game.nfs14_row,100000000,4.394088,5244413,118153,1784302204
com.weplaydots.twodotsandroid,50000000,4.268622,1159286,87722,1786005029
com.block.juggle,1000000000,4.8540916,5224898,74658,1786637358
com.playrix.homescapes,500000000,4.728295,13353999,370707,1786039939
com.greencod.pinballdeluxereloaded,5000000,4.712187,93987,8408,1786469571
com.king.candycrushsaga,1000000000,4.628231,38918116,2089953,1786542378
com.joycastle.mergematch,5000000,4.856939,350709,10997,1785496647
com.easybrain.block.puzzle.games,100000000,4.609392,1287309,32890,1786371654
com.oakever.tiletrip,100000000,4.881646,2190137,12282,1786544634
com.playrix.gardenscapes,500000000,4.7510977,13288743,354150,1786551602
com.playgendary.sportmasters,100000000,4.4832926,578237,23113,1786621398
com.fc.goods.sort.matching.puzzle.triplemaster,50000000,4.686059,741854,7964,1786694656
net.peakgames.match,10000000,4.661266,690192,23712,1786117913
com.sega.sonicdash,500000000,4.697793,6513720,416818,1783522540
com.dreamgames.royalkingdom,100000000,4.6187553,2520484,26437,1785505771
where.my.seat.taken.logic.puzzle.brain.mind,1000000,4.8034186,9479,175,1786701965
find.out.hidden.objects.seek.puzzle.games.free,10000000,4.8919067,403701,7306,1782298547
com.robtopx.geometryjumplite,500000000,4.4164863,7766805,496708,1769781830
com.easybrain.art.puzzle,100000000,4.783053,1871747,42688,1786470029
com.easybrain.arrow.puzzle.game,50000000,4.836986,1124237,4523,1784365818
com.nintendo.zara,100000000,3.8855305,1667491,90646,1778576009
com.zeptolab.ctr.ads,100000000,4.4466176,2696033,93622,1786034397
com.easybrain.sudoku.android,100000000,4.7349687,2460538,86114,1783000084
com.oakever.meowdoku,10000000,4.6214433,219542,7369,1786369043
com.pixel.art.coloring.color.number,100000000,4.568734,3877793,401072,1784184317
com.JindoBlu.OfflineGames,100000000,4.5984726,481308,14473,1785951994
com.biglime.cookingmadness,100000000,4.7699194,3268264,78040,1786700688
com.nekki.shadowfight,100000000,4.6381283,16691388,280788,1783336914
com.sadpuppy.lemmings,10000000,4.1954837,173954,12347,1785233732
com.game.space.shooter2,100000000,4.820728,1913681,39534,1786691597
com.youmusic.magictiles,500000000,4.587075,3503256,110959,1785845427
com.easybrain.nonogram,50000000,4.585326,897437,18999,1783599945
com.gameloft.android.ANMP.GloftA8HM,500000000,4.58658,11971621,285747,1785930343
com.sybogames.subway.surfers.game,10000000,4.6474786,321345,7617,1784909516
com.playrix.fishdomdd.gplay,100000000,4.6112475,6717002,295142,1786118812
com.ea.game.pvzfree_row,500000000,3.749611,5722367,116742,1786602656
com.xxzjcbt.google,1000,4.4468083,70,6,1779801564
com.yodo1.crossyroad,100000000,4.453465,4571838,349168,1784874460
com.gameloft.android.ANMP.GloftA9HM,100000000,4.3490458,2859435,71873,1784894759
com.fingersoft.hcr2,100000000,4.469006,4707317,147060,1782197244
com.amanotes.beathopper,500000000,4.30304,3359522,80341,1786428309
com.tiltingpoint.spongebob,50000000,4.046586,385135,16927,1784224857
com.cyphergames.royalsmash,5000000,4.574287,168412,938,1786657682
com.gamovation.tileclub,100000000,4.8212686,832766,5673,1785277496
com.oakever.arrows,50000000,4.626586,195504,5406,1786121476
com.vitastudio.mahjong,100000000,4.8374753,5959278,66891,1786634699
com.ecffri.arrows,100000000,4.834755,1891241,19949,1785928979
com.FDGEntertainment.redball4.gp,100000000,4.6357527,3593373,70064,1784826007
com.fgol.HungrySharkEvolution,500000000,4.492123,7572479,244768,1783927864
com.Seriously.BestFiends,50000000,4.613115,2271857,185278,1785998859
com.outfit7.talkingtomgoldrun,500000000,4.3447375,6422789,51258,1783517723
com.outfit7.herodash,500000000,4.265409,2097412,11570,1784024849
net.peakgames.toonblast,100000000,4.634224,4631136,390610,1785508205
com.zynga.pottermatch,10000000,4.6986747,912549,53270,1786444842
com.skgames.trafficrider,500000000,4.501876,8868317,80723,1765205909
com.masomo.headball2,100000000,4.5608716,2575371,32296,1786033789
com.os.airforce,100000000,4.796841,4312135,49201,1785324027
com.rovio.baba,100000000,4.091802,6309483,274520,1785401372
bubbleshooter.orig,500000000,4.6062183,2356931,32265,1786612110
com.dreamgames.royalmatch,100000000,4.636974,10621022,99851,1785505862
com.nekki.vector,100000000,4.699804,3664290,108642,1784135181
com.easybrain.jigsaw.puzzles,100000000,4.7854,2350787,106916,1785508463
com.inspiredsquare.jupiter,50000000,4.865085,865436,23370,1786106849
net.peakgames.amy,100000000,4.651315,3205679,301971,1786122444
com.imangi.templerun2,1000000000,4.088845,9849527,372003,1786622548
com.king.candycrushsodasaga,500000000,4.576337,8857133,390362,1785514541
com.pantheraplay.soulhuntresspremium,50000,4.77,5324,50,1786550071
eu.bandainamcoent.pacman256,10000000,4.151255,474317,28483,1777537375
com.imangi.templerun,500000000,4.2271,5143937,324601,1783605125
com.gameloft.android.ANMP.GloftDMHM,500000000,4.458411,10395163,585024,1785242215
