title,developer,content_rating,installs,genre,ad_supported,rating_score,ratings_count,reviews_count,iap_price_range,last_updated
Galaxiga: Galaxy Arcade Game,1SOFT,Everyone 10+,100000000,Arcade,True,4.7376356,451313,37971,$0.49 - $339.99 per item,1786325714
Super Mario Run,"Nintendo Co., Ltd.",Everyone,100000000,Action,False,3.884851,1667505,90643,$9.99 per item,1778576009
Angry Birds 2,Rovio Entertainment Oy,Everyone,100000000,Casual,True,4.0922294,6309030,274489,$0.99 - $249.99 per item,1785401372
Subway Surfers,SYBO Games,Everyone 10+,1000000000,Arcade,True,4.551487,41572615,1755645,$0.99 - $99.99 per item,1786093992
Fruit Ninja®,Halfbrick Studios,Everyone,500000000,Arcade,True,4.45313,5336911,212326,$0.99 - $179.99 per item,1785999508
Geometry Dash Lite,RobTop Games,Everyone 10+,500000000,Arcade,True,4.4146457,7766118,496688,,1769781830
Cooking Madness: A Chef's Game,ZenLife Games Ltd,Teen,100000000,Arcade,True,4.7699466,3267769,78032,$0.99 - $199.99 per item,1785152381
CookieRun Classic,Devsisters Corporation,Everyone,1000000,Adventure,False,4.65,91397,251,$0.99 - $64.99 per item,1785155935
Galaxy Conqueror,Rhinos,Everyone 10+,1000,Strategy,False,4.4468083,69,6,$0.99 - $99.99 per item,1779801564
Plants vs. Zombies™,ELECTRONIC ARTS,Everyone 10+,500000000,Strategy,True,3.7520907,5722691,116749,$0.99 - $7.99 per item,1784698269
