title,developer,contentRating,installs,genre,ad supported
Jigsaw Puzzles - Puzzle Games,Easybrain,Everyone,100000000,Puzzle,True
Art Puzzle - Puzzle Games,Easybrain,Everyone,100000000,Puzzle,True
Two Dots: Brain Puzzle Games,PlayDots,Everyone,50000000,Board,True
Magic Jigsaw Puzzles－Games HD,ZiMAD,Everyone,100000000,Puzzle,True
Where's My Seat?・Logic Puzzles,Smartmove Global,Everyone,1000000,Puzzle,True
Sudoku.com - Sudoku Puzzle,Easybrain,Everyone,100000000,Puzzle,True
Block Blast!,HungryStudio,Everyone,1000000000,Puzzle,True
Candy Crush Saga,King,Everyone,1000000000,Casual,True
Royal Smash! - Physics Puzzle,Cypher Games,Everyone,1000000,Casual,True
Nonogram.com - Puzzle Games,Easybrain,Everyone,50000000,Puzzle,True
