title,developer,content_rating,installs,genre,ad_supported,rating_score,ratings_count,reviews_count,iap_price_range,last_updated
Subway Surfers City,SYBO Games,Everyone 10+,10000000,Action,True,4.649141,320557,7607,$0.99 - $99.99 per item,1784909516
Sudoku.com - Sudoku Puzzle,Easybrain,Everyone,100000000,Puzzle,True,4.734665,2457710,86086,$2.49 - $14.99 per item,1783000084
Arrows – Puzzle Escape,Lessmore GmbH,Everyone,100000000,Puzzle,True,4.8369827,1871586,19779,$1.49 - $40.00 per item,1785928979
Head Ball 2 - Online Soccer,Masomo Gaming,Everyone,100000000,Sports,True,4.560878,2574280,32295,$0.29 - $249.99 per item,1786033789
Tile Club - Match Puzzle Games,GamoVation,Everyone,100000000,Puzzle,True,4.823105,831005,5668,$0.99 - $99.99 per item,1785277496
CookieRun Classic,Devsisters Corporation,Everyone,1000000,Adventure,False,4.65,91418,251,$0.99 - $64.99 per item,1785155935
Gardenscapes,Playrix,Everyone,500000000,Casual,False,4.7512765,13288853,354141,$0.49 - $99.99 per item,1785171511
Talking Tom Gold Run,Outfit7 Limited,Everyone,500000000,Action,True,4.3436522,6421964,51258,$0.99 - $149.99 per item,1783517723
Asphalt Legends - Racing Game,Gameloft SE,Everyone 10+,100000000,Racing,True,4.34928,2859282,71874,$0.29 - $199.99 per item,1784894759
Goods Puzzle: Sort Challenge™,FALCON GAMES,Everyone,50000000,Puzzle,True,4.6872396,740815,7951,$0.99 - $181.99 per item,1785390781
Magic Tiles 3™ - Piano Game,AMANOTES PTE. LTD.,Everyone 10+,500000000,Music,True,4.585878,3500538,110934,$0.99 - $49.99 per item,1785845427
Temple Run 2,Imangi Studios,Everyone 10+,1000000000,Action,True,4.0880527,9850471,372058,$0.99 - $49.99 per item,1785858501
Cookie Jam™ Match 3 Games,"Jam City, Inc.",Everyone,50000000,Puzzle,True,4.6171184,1195635,162966,$0.49 - $299.99 per item,1785532125
PAC-MAN 256 - Endless Maze,BANDAI NAMCO Entertainment Europe,Everyone,10000000,Arcade,True,4.1561837,474206,28477,$0.99 - $4.99 per item,1777537375
Arrow Puzzle: Tap Puzzle Games,Easybrain,Everyone,50000000,Puzzle,True,4.8402877,1099540,4425,$14.99 per item,1784365818
Angry Birds 2,Rovio Entertainment Oy,Everyone,100000000,Casual,True,4.0922294,6309032,274489,$0.99 - $249.99 per item,1785401372
Shadow Fight 2,NEKKI,Everyone 10+,100000000,Action,True,4.637406,16690853,280788,$0.99 - $49.99 per item,1783336914
Meowdoku: Brain Puzzle Games,Oakever Games,Everyone,10000000,Puzzle,True,4.614153,213038,7169,$3.99 - $69.99 per item,1786369043
Crossmath® - Math Puzzle Games,Guru Puzzle Game,Everyone,10000000,Puzzle,True,4.8132863,857260,9722,$0.99 - $10.99 per item,1782378462
Find It Out® - Hidden Object,Guru Puzzle Game,Everyone,10000000,Puzzle,True,4.890752,402711,7291,$0.99 - $99.99 per item,1782298547
Magic Sort!,Grand Games A.Ş.,Everyone,10000000,Puzzle,True,4.52227,410346,3733,$0.99 - $199.99 per item,1785954619
Candy Crush Saga,King,Everyone,1000000000,Casual,True,4.628028,38916811,2089997,$0.99 - $149.99 per item,1786349769
Blockudoku®: Block Puzzle Game,Easybrain,Everyone,100000000,Puzzle,True,4.6081147,1286660,32887,$14.99 per item,1786371654
Asphalt 8 - Car Racing Game,Gameloft SE,Everyone 10+,500000000,Racing,True,4.586038,11969791,285755,$0.29 - $149.99 per item,1785930343
Red Ball 4,FDG Entertainment GmbH & Co.KG,Everyone,100000000,Arcade,True,4.636224,3591704,70056,$4.99 - $8.99 per item,1784826007
Toon Blast,Peak,Everyone,100000000,Puzzle,True,4.634421,4629053,390575,$0.49 - $199.99 per item,1785508205
Hill Climb Racing 2,Fingersoft,Everyone,100000000,Racing,True,4.4688377,4706849,147050,$0.99 - $200.00 per item,1782197244
Crossy Road,HIPSTER WHALE,Everyone,100000000,Action,True,4.4535365,4571718,349172,$0.49 - $29.99 per item,1784874460
Need for Speed™ No Limits,ELECTRONIC ARTS,Everyone 10+,100000000,Racing,False,4.3937087,5244277,118146,$0.99 - $99.99 per item,1784302204
Bouncemasters: Penguin Games,CASUAL AZUR GAMES,Everyone,100000000,Arcade,True,4.4846635,578197,23112,$0.99 - $94.99 per item,1785858951
